category_id,level_id,q_text,choices,correct_index,explanation
1,1,"Synthetic question #66: Example content for item 66?","[""Option D for 66"",""Option C for 66"",""Option B for 66"",""Option A for 66""]",3,"Explanation for synthetic question #66."
1,1,"Synthetic question #67: Example content for item 67?","[""Option B for 67"",""Option A for 67"",""Option D for 67"",""Option C for 67""]",1,"Explanation for synthetic question #67."
1,1,"Synthetic question #68: Example content for item 68?","[""Option C for 68"",""Option B for 68"",""Option A for 68"",""Option D for 68""]",2,"Explanation for synthetic question #68."
1,1,"Synthetic question #69: Example content for item 69?","[""Option C for 69"",""Option A for 69"",""Option D for 69"",""Option B for 69""]",1,"Explanation for synthetic question #69."
1,1,"Synthetic question #70: Example content for item 70?","[""Option B for 70"",""Option D for 70"",""Option C for 70"",""Option A for 70""]",3,"Explanation for synthetic question #70."
1,1,"Synthetic question #71: Example content for item 71?","[""Option D for 71"",""Option A for 71"",""Option B for 71"",""Option C for 71""]",1,"Explanation for synthetic question #71."
1,1,"Synthetic question #72: Example content for item 72?","[""Option A for 72"",""Option D for 72"",""Option C for 72"",""Option B for 72""]",0,"Explanation for synthetic question #72."
1,1,"Synthetic question #73: Example content for item 73?","[""Option B for 73"",""Option A for 73"",""Option D for 73"",""Option C for 73""]",1,"Explanation for synthetic question #73."
1,1,"Synthetic question #74: Example content for item 74?","[""Option A for 74"",""Option B for 74"",""Option C for 74"",""Option D for 74""]",0,"Explanation for synthetic question #74."
1,1,"Synthetic question #75: Example content for item 75?","[""Option D for 75"",""Option C for 75"",""Option A for 75"",""Option B for 75""]",2,"Explanation for synthetic question #75."
1,1,"Synthetic question #76: Example content for item 76?","[""Option B for 76"",""Option D for 76"",""Option A for 76"",""Option C for 76""]",2,"Explanation for synthetic question #76."
1,1,"Synthetic question #77: Example content for item 77?","[""Option B for 77"",""Option A for 77"",""Option C for 77"",""Option D for 77""]",1,"Explanation for synthetic question #77."
1,1,"Synthetic question #78: Example content for item 78?","[""Option B for 78"",""Option C for 78"",""Option D for 78"",""Option A for 78""]",3,"Explanation for synthetic question #78."
1,1,"Synthetic question #79: Example content for item 79?","[""Option A for 79"",""Option B for 79"",""Option D for 79"",""Option C for 79""]",0,"Explanation for synthetic question #79."
1,1,"Synthetic question #80: Example content for item 80?","[""Option B for 80"",""Option D for 80"",""Option A for 80"",""Option C for 80""]",2,"Explanation for synthetic question #80."
1,1,"Synthetic question #81: Example content for item 81?","[""Option A for 81"",""Option C for 81"",""Option B for 81"",""Option D for 81""]",0,"Explanation for synthetic question #81."
1,1,"Synthetic question #82: Example content for item 82?","[""Option A for 82"",""Option D for 82"",""Option C for 82"",""Option B for 82""]",0,"Explanation for synthetic question #82."
1,1,"Synthetic question #83: Example content for item 83?","[""Option C for 83"",""Option D for 83"",""Option A for 83"",""Option B for 83""]",2,"Explanation for synthetic question #83."
1,1,"Synthetic question #84: Example content for item 84?","[""Option D for 84"",""Option C for 84"",""Option A for 84"",""Option B for 84""]",2,"Explanation for synthetic question #84."
1,1,"Synthetic question #85: Example content for item 85?","[""Option C for 85"",""Option D for 85"",""Option B for 85"",""Option A for 85""]",3,"Explanation for synthetic question #85."
1,1,"Synthetic question #86: Example content for item 86?","[""Option D for 86"",""Option A for 86"",""Option C for 86"",""Option B for 86""]",1,"Explanation for synthetic question #86."
1,1,"Synthetic question #87: Example content for item 87?","[""Option D for 87"",""Option A for 87"",""Option B for 87"",""Option C for 87""]",1,"Explanation for synthetic question #87."
1,1,"Synthetic question #88: Example content for item 88?","[""Option B for 88"",""Option A for 88"",""Option D for 88"",""Option C for 88""]",1,"Explanation for synthetic question #88."
1,1,"Synthetic question #89: Example content for item 89?","[""Option A for 89"",""Option C for 89"",""Option B for 89"",""Option D for 89""]",0,"Explanation for synthetic question #89."
1,1,"Synthetic question #90: Example content for item 90?","[""Option B for 90"",""Option D for 90"",""Option C for 90"",""Option A for 90""]",3,"Explanation for synthetic question #90."
1,1,"Synthetic question #91: Example content for item 91?","[""Option A for 91"",""Option D for 91"",""Option B for 91"",""Option C for 91""]",0,"Explanation for synthetic question #91."
1,1,"Synthetic question #92: Example content for item 92?","[""Option A for 92"",""Option C for 92"",""Option D for 92"",""Option B for 92""]",0,"Explanation for synthetic question #92."
1,1,"Synthetic question #93: Example content for item 93?","[""Option B for 93"",""Option D for 93"",""Option C for 93"",""Option A for 93""]",3,"Explanation for synthetic question #93."
1,1,"Synthetic question #94: Example content for item 94?","[""Option D for 94"",""Option A for 94"",""Option B for 94"",""Option C for 94""]",1,"Explanation for synthetic question #94."
1,1,"Synthetic question #95: Example content for item 95?","[""Option D for 95"",""Option B for 95"",""Option A for 95"",""Option C for 95""]",2,"Explanation for synthetic question #95."
1,1,"Synthetic question #96: Example content for item 96?","[""Option B for 96"",""Option C for 96"",""Option D for 96"",""Option A for 96""]",3,"Explanation for synthetic question #96."
1,1,"Synthetic question #97: Example content for item 97?","[""Option C for 97"",""Option B for 97"",""Option D for 97"",""Option A for 97""]",3,"Explanation for synthetic question #97."
1,1,"Synthetic question #98: Example content for item 98?","[""Option A for 98"",""Option B for 98"",""Option C for 98"",""Option D for 98""]",0,"Explanation for synthetic question #98."
